ID	Item	Cooccurrences	Candidates	T-score	MI	LogDice
132	eurozone-n	14	1307	3.72258	7.61551	7.25469	
133	RPI-n	8	25	2.82794	12.51634	7.25013	
134	little-j	12	889	3.45008	7.94912	7.24846	
135	weigh-v	9	245	2.99554	9.39348	7.24660	
136	employment-n	11	696	3.30516	8.17668	7.23483	
139	pound-n	10	490	3.15381	8.54549	7.22719	
140	weakness-n	9	278	2.99494	9.21118	7.22229	
141	forecast-v	9	284	2.99483	9.18037	7.21791	
142	decline-n	11	737	3.30449	8.09411	7.21032	
143	food-n	17	2101	4.09527	7.21080	7.19644	
144	return-n	12	985	3.44857	7.80118	7.19587	
145	see-v	26	4139	5.05468	6.84557	7.18968	
146	February-n	13	1243	3.58672	7.58102	7.17884	
147	oil-n	23	3537	4.75555	6.89545	7.16986	
148	low-n	9	356	2.99352	8.85439	7.16641	
149	still-a	21	3106	4.54555	6.95167	7.16260	
150	consistently-a	8	134	2.82584	10.09411	7.16158	
151	gradually-a	8	135	2.82582	10.08338	7.16080	
152	objective-n	8	155	2.82543	9.88407	7.14513	
153	consistent-j	8	157	2.82540	9.86557	7.14357	
155	core-n	8	172	2.82511	9.73393	7.13195	
156	largely-a	9	425	2.99226	8.59880	7.11872	
157	cause-v	11	928	3.30134	7.76165	7.10133	
158	too-a	15	1948	3.84551	7.13931	7.07519	
159	Yellen-n	8	247	2.82366	9.21183	7.07519	
163	average-j	10	780	3.14881	7.87479	7.04755	
164	near-term-j	7	40	2.64493	11.64562	7.04497	
165	outpace-v	7	41	2.64490	11.61000	7.04414	
166	close-j	9	539	2.99019	8.25598	7.04322	
167	underlie-v	8	292	2.82279	8.97037	7.04217	
168	control-n	10	801	3.14844	7.83646	7.03537	
169	gain-n	9	552	2.98995	8.22160	7.03486	
171	concern-n	12	1327	3.44318	7.37121	7.02272	
172	percentage-n	8	331	2.82204	8.78951	7.01416	
173	#NAME?	67	15384	8.08270	6.31714	7.00598	
176	strong-j	14	1903	3.71388	7.07349	6.99357	
177	cost-n	19	3190	4.31893	6.76878	6.99319	
178	reason-n	10	881	3.14706	7.69913	6.98989	
179	energy-n	15	2176	3.84230	6.97962	6.98765	
181	second-j	11	1154	3.29762	7.44720	6.98218	
182	first-j	22	4059	4.64315	6.63272	6.96858	
183	also-a	38	8289	6.09097	6.39114	6.96224	
184	evidence-n	9	681	2.98760	7.91861	6.95439	
185	more-a	28	5711	5.23255	6.48802	6.95249	
186	bear-v	8	424	2.82024	8.43227	6.94947	
187	fuel-n	10	956	3.14577	7.58126	6.94852	
188	argue-v	10	963	3.14564	7.57073	6.94472	
189	have-v	207	53430	14.18465	6.14832	6.94302	
190	quickly-a	9	702	2.98722	7.87479	6.94171	
193	volatile-j	7	176	2.64212	9.50812	6.93622	
194	calculate-v	7	195	2.64173	9.36022	6.92166	
196	now-a	25	5155	4.94369	6.47229	6.90155	
197	ECB-n	8	497	2.81883	8.20309	6.90065	
198	slow-j	8	513	2.81852	8.15738	6.89017	
199	predict-v	8	521	2.81837	8.13506	6.88496	
200	less-a	9	802	2.98540	7.68266	6.88279	
201	prevent-v	8	533	2.81813	8.10220	6.87717	
202	as-a	21	4173	4.53284	6.52564	6.87317	
206	be-v	483	135790	21.63978	6.02506	6.84694	
208	point-v	8	600	2.81684	7.93138	6.83446	
209	enough-a	8	604	2.81676	7.92179	6.83195	
213	come-v	23	5014	4.73873	6.39201	6.81125	
214	preferred-j	6	56	2.44824	10.93780	6.80935	
216	achieve-v	8	643	2.81601	7.83152	6.80771	
217	prolonged-j	6	59	2.44817	10.86251	6.80689	
218	head-v	7	355	2.63842	8.49588	6.80454	
219	governor-n	7	359	2.63834	8.47971	6.80173	
220	medium-j	6	86	2.44757	10.31889	6.78487	
221	backdrop-n	6	92	2.44744	10.22160	6.78002	
222	strip-v	6	93	2.44742	10.20600	6.77922	
223	next-j	15	2784	3.83372	6.62414	6.77729	
225	tip-v	6	101	2.44724	10.08695	6.77279	
227	Federal-n	8	715	2.81462	7.67840	6.76399	
229	look-v	15	2839	3.83294	6.59592	6.75969	
231	hold-v	11	1705	3.28855	6.88407	6.72726	
233	worry-v	7	473	2.63599	8.08185	6.72388	
235	publish-v	10	1422	3.13772	7.00842	6.71506	
236	year-n	60	17068	7.62561	6.00808	6.71113	
237	high-n	6	201	2.44501	9.09411	6.69470	
238	lead-v	13	2426	3.56880	6.61627	6.69096	
239	so-a	20	4647	4.41538	6.30004	6.69075	
241	become-v	15	3074	3.82963	6.48118	6.68681	
242	last-j	34	9134	5.74539	6.09063	6.68458	
243	warn-v	9	1172	2.97866	7.13536	6.68359	
247	overall-j	7	551	2.63438	7.86164	6.67293	
249	therefore-a	6	239	2.44416	8.84429	6.66610	
250	time-n	24	6052	4.83150	6.18196	6.66517	
252	near-j	6	245	2.44403	8.80852	6.66164	
254	Mark-n	7	581	2.63376	7.78516	6.65380	
255	official-n	9	1246	2.97731	7.04703	6.64685	
256	lower-v	6	283	2.44318	8.60050	6.63368	
257	less-j	9	1293	2.97646	6.99361	6.62400	
259	just-a	17	3972	4.07049	6.29201	6.61858	
260	January-n	9	1308	2.97619	6.97697	6.61678	
261	slow-v	7	649	2.63235	7.62548	6.61137	
262	soon-a	7	658	2.63217	7.60561	6.60584	
263	14-Jan-2015-j	5	6	2.23592	13.89716	6.58807	
264	[number]-m	264	88229	15.95148	5.77562	6.58794	
265	ultra-low-n	5	15	2.23570	12.57523	6.58046	
266	pull-v	6	360	2.44146	8.25330	6.57864	
268	entrenched-j	5	31	2.23531	11.52793	6.56704	
269	bout-n	5	35	2.23521	11.35284	6.56370	
271	up-a	10	1789	3.13138	6.67719	6.55457	
272	persistent-j	5	59	2.23463	10.59948	6.54385	
275	good-n	7	786	2.62952	7.34916	6.52949	
276	public-n	6	437	2.43975	7.97367	6.52562	
278	reach-v	8	1156	2.80610	6.98527	6.52174	
279	rebound-n	5	92	2.23382	9.95856	6.51699	
280	earnings-n	7	826	2.62870	7.27755	6.50643	
281	below-a	5	112	2.23333	9.67477	6.50095	
282	activity-n	7	837	2.62847	7.25847	6.50015	
283	ahead-a	7	841	2.62839	7.25159	6.49788	
286	territory-n	5	161	2.23214	9.15121	6.46239	
287	spending-n	8	1278	2.80375	6.84052	6.46133	
288	responsibility-n	6	536	2.43754	7.67907	6.46019	
289	decline-v	7	909	2.62699	7.13941	6.45973	
290	Statistics-n	5	174	2.23182	9.03918	6.45233	
291	faster-a	5	182	2.23162	8.97433	6.44618	
292	tumble-v	5	183	2.23160	8.96642	6.44541	
293	allow-v	9	1699	2.96907	6.59965	6.44030	
294	set-v	10	2077	3.12640	6.46184	6.44005	
295	worry-n	5	192	2.23138	8.89716	6.43852	
296	weaken-v	5	194	2.23133	8.88221	6.43699	
298	US-n	15	3991	3.81670	6.10455	6.43318	
299	Reserve-n	6	581	2.43653	7.56276	6.43141	
300	commodity-n	6	586	2.43642	7.55040	6.42825	
301	almost-a	8	1362	2.80213	6.74868	6.42116	
302	hit-n	5	215	2.23082	8.73393	6.42106	
303	confidence-n	6	623	2.43560	7.46207	6.40505	
304	close-n	5	244	2.23011	8.55139	6.39934	
305	change-v	8	1435	2.80072	6.67336	6.38713	
306	policymaker-n	5	265	2.22959	8.43227	6.38382	
307	fear-v	5	265	2.22959	8.43227	6.38382	
308	more-j	27	8917	5.10242	5.79274	6.38121	
309	path-n	5	269	2.22950	8.41066	6.38088	
310	market-n	26	8528	5.00767	5.80264	6.38063	
311	#NAME?	178	69087	13.05882	5.55980	6.36460	
312	photograph-n	13	3494	3.55262	6.08997	6.35864	
313	clothing-n	5	304	2.22864	8.23420	6.35542	
314	add-v	11	2707	3.27204	6.21715	6.35483	
315	indeed-a	5	314	2.22840	8.18750	6.34823	
316	live-v	7	1134	2.62234	6.82035	6.34026	
317	ever-a	6	755	2.43265	7.18482	6.32522	
318	import-n	5	353	2.22745	8.01860	6.32052	
319	global-j	11	2835	3.26994	6.15049	6.31350	
320	dollar-n	7	1190	2.62118	6.75080	6.31200	
322	say-v	83	32765	8.91399	5.53537	6.30232	
323	however-a	9	2040	2.96286	6.33577	6.30226	
324	line-n	7	1212	2.62073	6.72438	6.30105	
325	tend-v	5	386	2.22664	7.88967	6.29748	
326	Osborne-n	6	803	2.43158	7.09590	6.29725	
327	determine-v	5	387	2.22661	7.88593	6.29679	
328	miss-v	5	394	2.22644	7.86007	6.29195	
330	take-v	20	6691	4.39042	5.77412	6.28782	
331	current-j	7	1260	2.61974	6.66834	6.27744	
334	fresh-j	5	436	2.22542	7.71394	6.26326	
335	long-j	7	1312	2.61867	6.61000	6.25229	
336	hawk-n	4	25	1.99932	11.51634	6.25013	
337	Eurostat-n	4	26	1.99929	11.45976	6.24929	
338	benign-j	4	26	1.99929	11.45976	6.24929	
340	slack-n	4	32	1.99913	11.16020	6.24428	
341	point-n	8	1764	2.79436	6.37556	6.24303	
342	Boe-n	4	37	1.99899	10.95074	6.24011	
343	committee-n	6	907	2.42926	6.92020	6.23845	
344	lack-n	5	481	2.22432	7.57223	6.23314	
345	war-n	5	487	2.22417	7.55435	6.22917	
346	impact-n	7	1372	2.61743	6.54549	6.22380	
347	here-a	7	1379	2.61728	6.53814	6.22052	
348	persist-v	4	63	1.99828	10.18292	6.21864	
349	nominal-j	4	66	1.99820	10.11580	6.21618	
350	chance-n	5	513	2.22354	7.47931	6.21210	
351	shopping-n	5	514	2.22351	7.47650	6.21144	
352	sink-v	4	77	1.99790	9.89341	6.20721	
353	income-n	7	1408	2.61668	6.50812	6.20698	
354	follow-v	8	1857	2.79257	6.30144	6.20477	
355	diminish-v	4	81	1.99779	9.82035	6.20396	
357	enough-j	5	531	2.22310	7.42956	6.20039	
358	future-j	5	532	2.22307	7.42684	6.19975	
359	worsen-v	4	88	1.99760	9.70076	6.19829	
360	Report-n	4	88	1.99760	9.70076	6.19829	
361	Haldane-n	4	93	1.99746	9.62104	6.19426	
362	edge-v	4	93	1.99746	9.62104	6.19426	
363	sustained-j	4	95	1.99741	9.59034	6.19265	
364	two-m	13	4127	3.54303	5.84976	6.19265	
365	prospect-n	5	551	2.22261	7.37621	6.18750	
368	March-n	7	1455	2.61571	6.46075	6.18530	
369	situation-n	5	566	2.22224	7.33747	6.17791	
370	stimulate-v	4	115	1.99686	9.31471	6.17663	
371	not-a	51	21431	6.97752	5.44521	6.17507	
372	generous-j	4	118	1.99678	9.27755	6.17425	
373	positive-j	5	578	2.22195	7.30720	6.17028	
374	justify-v	4	128	1.99650	9.16020	6.16632	
375	then-a	9	2414	2.95605	6.09291	6.16465	
376	actually-a	5	587	2.22173	7.28491	6.16458	
377	use-v	13	4242	3.54129	5.81011	6.16444	
378	bank-n	17	6091	4.04242	5.67519	6.16043	
380	August-n	6	1080	2.42541	6.66834	6.14565	
381	fail-v	6	1103	2.42489	6.63794	6.13375	
382	run-v	8	2042	2.78899	6.16443	6.13156	
383	slip-v	4	174	1.99525	8.71725	6.13041	
384	far-a	7	1583	2.61307	6.33910	6.12787	
385	GMT-n	9	2526	2.95401	6.02748	6.12587	
386	reading-n	4	181	1.99506	8.66035	6.12502	
387	around-a	5	656	2.22004	7.12457	6.12164	
388	beat-v	4	187	1.99489	8.61330	6.12042	
389	ago-a	7	1603	2.61266	6.32099	6.11910	
390	domestic-j	5	661	2.21992	7.11362	6.11858	
391	fuel-v	4	201	1.99451	8.50914	6.10974	
392	stand-v	5	676	2.21956	7.08124	6.10943	
393	power-n	7	1645	2.61179	6.28368	6.10086	
394	general-j	5	691	2.21919	7.04958	6.10034	
395	modest-j	4	218	1.99405	8.39201	6.09687	
396	release-v	5	698	2.21902	7.03504	6.09612	
397	much-a	8	2137	2.78716	6.09882	6.09537	
398	ignore-v	4	224	1.99388	8.35284	6.09236	
399	flat-j	4	226	1.99383	8.34002	6.09086	
402	petrol-n	4	230	1.99372	8.31471	6.08786	
403	completely-a	4	231	1.99369	8.30845	6.08711	
404	slump-n	4	232	1.99366	8.30221	6.08636	
405	match-v	4	233	1.99364	8.29601	6.08561	
406	twice-a	4	237	1.99353	8.27145	6.08263	
407	crisis-n	8	2175	2.78643	6.07340	6.08114	
408	accelerate-v	4	240	1.99345	8.25330	6.08039	
409	view-v	4	245	1.99331	8.22356	6.07667	
410	close-v	6	1221	2.42226	6.49131	6.07420	
411	rather-a	6	1224	2.42220	6.48777	6.07272	
412	combination-n	4	252	1.99312	8.18292	6.07148	
413	thanks-n	4	257	1.99298	8.15457	6.06779	
414	most-j	7	1731	2.61002	6.21016	6.06420	
415	rapidly-a	4	262	1.99284	8.12677	6.06410	
417	get-v	14	5175	3.66611	5.63021	6.06084	
418	century-n	4	269	1.99265	8.08873	6.05895	
419	short-term-j	4	276	1.99246	8.05167	6.05382	
420	October-n	6	1274	2.42108	6.43001	6.04823	
421	associate-v	4	284	1.99224	8.01045	6.04799	
422	April-n	6	1275	2.42106	6.42888	6.04774	
423	longer-a	5	784	2.21692	6.86741	6.04522	
424	British-j	6	1291	2.42070	6.41088	6.04000	
425	think-v	9	2817	2.94871	5.87018	6.02973	
426	Tuesday-n	8	2318	2.78366	5.98153	6.02882	
427	generally-a	4	318	1.99132	7.84731	6.02344	
428	job-n	10	3374	3.10400	5.76188	6.01387	
429	June-n	6	1349	2.41941	6.34748	6.01226	
430	combine-v	4	347	1.99052	7.72140	6.00282	
431	slightly-a	4	347	1.99052	7.72140	6.00282	
433	healthy-j	4	368	1.98995	7.63663	5.98807	
434	strength-n	4	380	1.98962	7.59034	5.97971	
435	key-j	5	905	2.21396	6.66035	5.97652	
436	significant-j	5	912	2.21379	6.64923	5.97265	
437	export-n	5	920	2.21360	6.63663	5.96823	
438	union-n	5	923	2.21352	6.63194	5.96658	
439	fight-v	4	400	1.98908	7.51634	5.96589	
440	borrowing-n	4	402	1.98902	7.50914	5.96451	
441	so-called-j	4	415	1.98867	7.46323	5.95561	
442	progress-n	4	422	1.98848	7.43910	5.95083	
444	week-n	10	3612	3.09989	5.66354	5.94770	
445	concern-v	4	430	1.98826	7.41200	5.94540	
446	about-a	10	3643	3.09935	5.65121	5.93930	
448	November-n	6	1512	2.41577	6.18292	5.93705	
449	believe-v	6	1526	2.41546	6.16962	5.93077	
450	earlier-a	5	990	2.21189	6.53084	5.93015	
451	threat-n	4	457	1.98752	7.32414	5.92720	
452	wide-j	4	472	1.98711	7.27755	5.91719	
453	slowdown-n	4	483	1.98681	7.24432	5.90989	
454	Central-n	4	484	1.98678	7.24133	5.90923	
455	only-a	9	3231	2.94117	5.67236	5.90314	
456	wait-v	4	494	1.98651	7.21183	5.90263	
457	do-v	27	13180	5.05761	5.22902	5.89409	
458	recently-a	5	1074	2.20983	6.41335	5.88574	
459	recession-n	4	539	1.98528	7.08605	5.87330	
460	reduce-v	6	1662	2.41243	6.04645	5.87115	
462	estimate-v	4	551	1.98495	7.05429	5.86557	
463	begin-v	6	1680	2.41203	6.03091	5.86344	
464	force-n	4	557	1.98479	7.03866	5.86173	
466	net-j	4	561	1.98468	7.02834	5.85917	
467	chancellor-n	4	571	1.98441	7.00285	5.85280	
468	government-set-n	3	6	1.73186	13.16020	5.85110	
469	undershoot-v	3	9	1.73177	12.57523	5.84856	
470	focus-v	5	1149	2.20800	6.31596	5.84721	
471	paltry-j	3	11	1.73170	12.28573	5.84687	
