ID	Item	Cooccurrences	Candidates	T-score	MI	LogDice
587	early-a	3	297	1.72268	7.53084	5.62351	
589	sharply-a	3	305	1.72243	7.49249	5.61774	
590	Wednesday-n	6	2318	2.39780	5.56649	5.61378	
591	record-v	3	313	1.72218	7.45514	5.61198	
592	news-n	5	1660	2.19552	5.78516	5.60897	
593	Americans-n	3	318	1.72202	7.43227	5.60840	
594	compare-v	4	1018	1.97220	6.16867	5.59326	
595	anyone-n	3	340	1.72133	7.33577	5.59273	
596	door-n	3	341	1.72130	7.33153	5.59202	
597	significantly-a	3	343	1.72123	7.32309	5.59061	
599	retail-j	4	1058	1.97111	6.11307	5.57216	
601	sharp-j	3	379	1.72010	7.17910	5.56537	
602	rely-v	3	382	1.72000	7.16773	5.56329	
603	right-a	3	396	1.71956	7.11580	5.55361	
604	little-a	3	396	1.71956	7.11580	5.55361	
605	decade-n	4	1098	1.97001	6.05953	5.55137	
606	collapse-n	3	400	1.71944	7.10130	5.55085	
608	happen-v	4	1112	1.96963	6.04125	5.54416	
609	other-j	11	6044	3.21709	5.05834	5.54113	
610	Office-n	3	420	1.71881	7.03091	5.53716	
611	labor-n	3	422	1.71874	7.02406	5.53579	
612	highlight-v	3	428	1.71855	7.00369	5.53172	
613	policy-n	6	2555	2.39252	5.42605	5.53104	
614	end-n	5	1848	2.19093	5.63037	5.53036	
615	benefit-n	4	1141	1.96884	6.00411	5.52934	
616	consider-v	4	1150	1.96859	5.99278	5.52477	
617	cut-n	4	1151	1.96857	5.99152	5.52427	
619	beer-n	3	448	1.71792	6.93780	5.51820	
620	[number]-j	3	452	1.71780	6.92498	5.51551	
621	result-v	3	455	1.71770	6.91544	5.51350	
623	deficit-n	3	462	1.71748	6.89341	5.50881	
624	analysis-n	3	463	1.71745	6.89029	5.50815	
625	good-j	9	4785	2.91288	5.10582	5.50770	
626	result-n	5	1914	2.18931	5.57975	5.50375	
627	discount-n	3	479	1.71695	6.84128	5.49750	
628	account-n	4	1207	1.96704	5.92299	5.49617	
629	warning-n	3	482	1.71685	6.83227	5.49551	
631	past-j	4	1212	1.96690	5.91702	5.49369	
632	number-n	6	2675	2.38984	5.35983	5.49088	
634	confirm-v	3	504	1.71616	6.76788	5.48102	
635	item-n	3	505	1.71613	6.76502	5.48036	
636	perhaps-a	3	514	1.71584	6.73953	5.47448	
637	accord-v	6	2727	2.38868	5.33206	5.47383	
638	world-n	7	3474	2.57403	5.20517	5.47113	
639	debate-n	3	521	1.71562	6.72002	5.46992	
640	monetary-j	3	525	1.71549	6.70898	5.46732	
641	average-n	3	538	1.71508	6.67370	5.45890	
642	banker-n	3	538	1.71508	6.67370	5.45890	
643	industrial-j	3	539	1.71505	6.67102	5.45826	
644	replace-v	3	548	1.71477	6.64713	5.45246	
645	output-n	3	554	1.71458	6.63142	5.44861	
646	seven-m	3	558	1.71445	6.62104	5.44605	
647	short-j	3	566	1.71420	6.60050	5.44094	
648	prove-v	3	570	1.71408	6.59034	5.43839	
649	region-n	3	570	1.71408	6.59034	5.43839	
650	provide-v	5	2117	2.18436	5.43432	5.42484	
651	give-v	7	3645	2.57050	5.13585	5.42419	
652	conference-n	3	593	1.71335	6.53327	5.42383	
653	generate-v	3	596	1.71326	6.52599	5.42194	
654	benefit-v	3	600	1.71313	6.51634	5.41943	
655	United-n	5	2132	2.18399	5.42413	5.41918	
656	important-j	4	1370	1.96258	5.74024	5.41739	
657	house-n	3	604	1.71300	6.50675	5.41692	
659	need-v	7	3713	2.56910	5.10918	5.40594	
660	summer-n	3	625	1.71234	6.45745	5.40381	
661	survey-n	3	630	1.71218	6.44595	5.40071	
662	meet-v	4	1406	1.96160	5.70281	5.40055	
663	especially-a	3	651	1.71152	6.39864	5.38775	
664	poor-j	3	656	1.71136	6.38761	5.38468	
665	break-v	3	662	1.71117	6.37447	5.38100	
666	support-v	4	1451	1.96037	5.65736	5.37978	
667	personal-j	3	665	1.71108	6.36795	5.37917	
668	put-v	5	2257	2.18094	5.34193	5.37283	
669	letter-n	3	677	1.71070	6.34215	5.37186	
670	goal-n	3	696	1.71010	6.30221	5.36036	
672	go-v	9	5515	2.89959	4.90098	5.35374	
673	July-n	4	1510	1.95876	5.59986	5.35299	
676	financial-j	7	3975	2.56369	5.01081	5.33771	
677	recovery-n	3	746	1.70853	6.20213	5.33052	
678	right-j	3	748	1.70846	6.19826	5.32934	
679	such-j	6	3203	2.37807	5.09995	5.32640	
681	most-a	5	2424	2.17686	5.23895	5.31315	
682	National-n	3	793	1.70704	6.11398	5.30303	
683	early-j	4	1624	1.95565	5.49486	5.30260	
684	way-n	6	3328	2.37528	5.04472	5.29005	
685	particularly-a	3	832	1.70581	6.04472	5.28061	
686	due-j	3	834	1.70575	6.04125	5.27947	
687	demand-n	4	1713	1.95322	5.41789	5.26444	
688	States-n	4	1728	1.95281	5.40531	5.25811	
689	great-j	4	1731	1.95273	5.40281	5.25685	
691	make-v	13	9607	3.46001	4.63076	5.23589	
692	one-m	10	7092	3.03978	4.69015	5.22044	
693	force-v	3	942	1.70234	5.86557	5.21919	
694	political-j	3	945	1.70225	5.86099	5.21755	
695	no-a	3	947	1.70219	5.85794	5.21646	
696	send-v	3	998	1.70058	5.78226	5.18889	
698	government-n	8	5513	2.72196	4.73157	5.18422	
699	effort-n	3	1057	1.69872	5.69940	5.15765	
700	strategy-n	3	1074	1.69818	5.67638	5.14877	
701	quarter-n	4	2001	1.94535	5.19369	5.14747	
702	credit-n	3	1083	1.69790	5.66434	5.14409	
703	cut-v	4	2030	1.94456	5.17293	5.13620	
704	Reuters-n	3	1156	1.69560	5.57023	5.10670	
706	leave-v	4	2113	1.94229	5.11512	5.10442	
707	supermarket-n	3	1167	1.69525	5.55657	5.10115	
709	agency-n	3	1193	1.69443	5.52478	5.08811	
710	question-n	3	1225	1.69342	5.48659	5.07222	
711	different-j	3	1248	1.69269	5.45976	5.06091	
712	country-n	6	4201	2.35581	4.70864	5.05895	
713	investor-n	5	3246	2.15678	4.81768	5.05076	
714	stock-n	4	2267	1.93809	5.01363	5.04726	
715	find-v	5	3287	2.15578	4.79957	5.03884	
718	meeting-n	3	1344	1.68967	5.35284	5.01463	
719	group-n	5	3380	2.15350	4.75932	5.01217	
720	area-n	3	1371	1.68882	5.32414	5.00188	
721	lot-n	3	1385	1.68837	5.30949	4.99531	
722	statement-n	3	1395	1.68806	5.29911	4.99064	
723	appear-v	3	1405	1.68774	5.28880	4.98598	
724	plan-n	4	2458	1.93287	4.89693	4.97937	
725	Ms.-n	3	1482	1.68532	5.21183	4.95061	
726	change-n	4	2547	1.93044	4.84561	4.94879	
727	lose-v	3	1531	1.68377	5.16490	4.92854	
729	decision-n	3	1655	1.67986	5.05254	4.87416	
731	billion-n	4	2883	1.92126	4.66684	4.83887	
732	face-v	3	1756	1.67667	4.96708	4.83133	
733	Europe-n	3	1786	1.67573	4.94264	4.81885	
734	European-j	3	1827	1.67444	4.90990	4.80196	
735	member-n	3	1838	1.67409	4.90124	4.79747	
736	value-n	3	1844	1.67390	4.89653	4.79502	
737	few-j	3	1851	1.67368	4.89107	4.79217	
738	large-j	4	3172	1.91337	4.52902	4.75059	
739	include-v	5	4911	2.11611	4.22032	4.63193	
740	people-n	6	6403	2.30671	4.10063	4.60126	
743	many-j	4	3929	1.89270	4.22025	4.54211	
744	Mr.-n	7	8443	2.47145	3.92401	4.49958	
745	three-m	3	2718	1.64634	4.33683	4.47676	
747	small-j	3	2892	1.64085	4.24731	4.42100	
750	want-v	3	3327	1.62713	4.04515	4.29034	
753	new-j	5	7715	2.04761	3.56867	4.12164	
755	business-n	7	12025	2.39750	3.41380	4.06315	
756	share-n	3	4191	1.59989	3.71208	4.06140	
761	company-n	4	15543	1.57552	2.23622	2.92653	
