ID	Item	Cooccurrences	Candidates	T-score	MI	LogDice
1	adjust-v	18	83	4.24249	14.78298	10.83901
2	food-n	19	891	4.35733	11.43675	9.10582
3	double-digit-j	4	24	1.99991	14.40314	8.96108
4	low-j	17	985	4.12127	11.13158	8.83007
5	rise-v	17	1018	4.12121	11.08404	8.79169
6	control-v	6	207	2.44884	11.87957	8.78406
7	monetary-j	5	134	2.23561	12.24394	8.77890
8	accelerate-v	4	92	1.99965	12.46454	8.62931
9	rate-n	16	1167	3.99776	10.79951	8.54262
10	combat-v	3	28	1.73193	13.76571	8.52427
11	expectation-n	4	176	1.99932	11.52867	8.30303
12	threat-n	4	205	1.99921	11.30862	8.20558
13	Fed-n	4	207	1.99920	11.29461	8.19910
14	wage-n	5	342	2.23489	10.89217	8.13953
15	check-n	3	112	1.73155	11.76571	8.12964
16	inflation-n	4	239	1.99908	11.08723	8.09913
17	negative-j	3	138	1.73144	11.46454	8.02654
18	future-j	4	272	1.99895	10.90064	8.00282
19	fear-n	4	278	1.99893	10.86916	7.98598
20	1980-n	3	160	1.73134	11.25113	7.94472
21	finally-a	3	166	1.73131	11.19802	7.92318
22	price-n	17	2132	4.11913	10.01757	7.87618
23	measure-n	5	469	2.23445	10.43658	7.85432
24	keep-v	9	1042	2.99733	10.13288	7.84687
25	tend-v	3	191	1.73120	10.99563	7.83677
26	Google-n	3	199	1.73117	10.93644	7.81018
27	hit-v	5	529	2.23425	10.26290	7.73697
28	meanwhile-a	3	239	1.73099	10.67220	7.68410
29	high-j	13	1885	3.60153	9.80819	7.64787
30	growth-n	9	1246	2.99681	9.87494	7.63368
31	interest-n	8	1128	2.82536	9.84855	7.58320
32	direct-j	3	277	1.73082	10.45932	7.57374
33	unemployment-n	3	296	1.73074	10.36361	7.52157
34	enough-j	3	300	1.73072	10.34424	7.51082
35	policy-n	7	1027	2.64277	9.79123	7.50129
36	bit-n	3	307	1.73069	10.31097	7.49221
37	average-j	3	324	1.73061	10.23321	7.44797
38	income-n	4	514	1.99802	9.98247	7.44349
39	increase-n	4	559	1.99785	9.86139	7.35976
40	fall-v	6	963	2.44647	9.66167	7.35374
41	main-j	3	363	1.73044	10.06924	7.35134
42	economic-j	6	1102	2.44603	9.46715	7.19587
43	target-n	3	445	1.73007	9.77540	7.16711
44	rise-n	3	453	1.73004	9.74969	7.15033
45	concern-n	4	713	1.99726	9.51034	7.10518
46	even-a	9	2066	2.99470	9.14540	6.99937
47	control-n	3	548	1.72962	9.47503	6.96474
48	Chinese-j	3	580	1.72947	9.39315	6.90724
49	mean-v	4	881	1.99661	9.20510	6.87072
50	cost-n	6	1529	2.44469	8.99469	6.79706
52	continue-v	4	990	1.99619	9.03681	6.73673
53	rather-a	3	690	1.72899	9.14261	6.72543
54	almost-a	3	708	1.72891	9.10546	6.69774
55	seem-v	3	710	1.72890	9.10139	6.69470
57	change-n	4	1067	1.99590	8.92875	6.64906
58	help-v	6	1758	2.44397	8.79334	6.62134
59	demand-n	3	771	1.72863	8.98247	6.60482
60	term-n	3	785	1.72856	8.95651	6.58496
61	union-n	3	800	1.72850	8.92921	6.56398
62	bad-j	3	804	1.72848	8.92201	6.55844
63	up-a	3	812	1.72844	8.90773	6.54742
64	expect-v	5	1536	2.23078	8.72506	6.52832
65	begin-v	4	1188	1.99543	8.77378	6.52123
67	far-a	3	907	1.72802	8.74810	6.42257
68	create-v	4	1293	1.99503	8.65159	6.41880
69	run-v	4	1335	1.99487	8.60548	6.37978
70	recent-j	3	946	1.72785	8.68737	6.37429
71	allow-v	3	961	1.72778	8.66467	6.35614
72	come-v	7	2568	2.63828	8.46902	6.35254
73	remain-v	3	971	1.72774	8.64973	6.34417
74	value-n	3	972	1.72773	8.64825	6.34298
75	increase-v	3	973	1.72773	8.64677	6.34179
76	economy-n	4	1423	1.99453	8.51338	6.30130
79	too-a	3	1140	1.72699	8.41824	6.15556
80	worker-n	3	1161	1.72689	8.39191	6.13375
84	Credit-n	4	1719	1.99339	8.24075	6.06483
85	percent-n	6	2748	2.44086	8.14890	6.04048
89	show-v	3	1343	1.72609	8.18182	5.95743
93	oil-n	3	1477	1.72549	8.04461	5.84013
94	consumer-n	3	1532	1.72525	7.99186	5.79461
95	more-a	5	2746	2.22662	7.88691	5.77841
96	so-a	5	2797	2.22645	7.86036	5.75397
99	government-n	5	3154	2.22522	7.68706	5.59358
100	also-a	7	4564	2.63248	7.63937	5.57763
102	year-n	13	8884	3.58660	7.57155	5.54515
103	know-v	3	1939	1.72344	7.65196	5.49617
104	well-a	3	1948	1.72340	7.64528	5.49022
106	not-a	17	12550	4.09969	7.46016	5.44485
114	now-a	4	3086	1.98813	7.39658	5.30086
115	just-a	3	2272	1.72196	7.42331	5.29092
117	country-n	3	2345	1.72164	7.37769	5.24957
118	good-j	3	2362	1.72156	7.36727	5.24011
119	as-a	3	2417	1.72132	7.33406	5.20992
120	many-j	3	2568	1.72065	7.24663	5.13015
123	use-v	3	2756	1.71981	7.14470	5.03662
124	be-v	75	77891	8.59107	6.96775	4.97523
128	have-v	28	30426	5.24727	6.90244	4.90305
132	[number]-m	36	43646	5.94404	6.74446	4.74848
135	bank-n	3	3667	1.71576	6.73268	4.65349
136	say-v	16	20610	3.96036	6.65704	4.65231
140	new-j	3	4237	1.71323	6.52423	4.45697
142	more-j	3	4346	1.71275	6.48759	4.42226
146	do-v	5	8143	2.20805	6.31868	4.28885
147	#NAME?	28	49816	5.21908	6.19113	4.19613
153	#NAME?	4	9073	1.96510	5.84074	3.81512
