ID	Item	Cooccurrences	Candidates	T-score	MI	LogDice
1	adjust-v	24	107	4.89862	13.74947	10.32522
2	inflation-n	18	506	4.24070	11.09290	9.18693
3	fall-v	33	1579	5.74009	10.32557	9.01856
4	rate-n	45	2342	6.70252	10.20430	9.01612
5	high-j	55	3091	7.40941	10.09347	8.96878
6	CPI-n	8	24	2.82829	14.32101	8.95015
7	quarterly-j	9	126	2.99932	12.09862	8.86614
9	ease-v	9	163	2.99912	11.72717	8.78406
10	sticky-j	7	18	2.64564	14.54340	8.77393
11	rise-v	25	1470	4.99521	10.02823	8.69549
12	basket-n	7	50	2.64544	13.06947	8.68841
13	erode-v	7	52	2.64543	13.01289	8.68323
14	Eurozone-n	9	223	2.99879	11.27500	8.66015
15	expectation-n	10	325	3.16060	10.88360	8.62322
16	low-j	24	1626	4.89357	9.82382	8.52697
17	datum-n	18	1131	4.23830	9.93251	8.49309
18	wage-n	10	426	3.16008	10.49319	8.45774
19	figure-n	15	917	3.86913	9.97209	8.43217
20	price-n	37	3112	6.07443	9.51180	8.38848
21	consumer-n	25	2095	4.99318	9.51709	8.29901
22	overall-j	8	360	2.82635	10.41412	8.24178
23	annual-j	12	810	3.46029	9.82916	8.22302
25	unemployment-n	11	714	3.31312	9.88562	8.20677
26	growth-n	25	2428	4.99209	9.30428	8.12520
27	weak-j	8	474	2.82570	10.01723	8.06336
28	food-n	15	1451	3.86688	9.31003	7.97246
29	spending-n	9	759	2.99588	9.50794	7.86500
30	eurozone-n	14	1470	3.73526	9.19173	7.85899
31	back-a	18	2044	4.23479	9.07872	7.85364
32	target-n	9	821	2.99554	9.39466	7.79597
33	prediction-n	4	94	1.99923	11.35138	7.77118
34	pork-n	4	96	1.99922	11.32101	7.76638
35	control-v	6	400	2.44683	9.84708	7.76160
36	UK-n	27	3575	5.18495	8.85713	7.76018
38	QE-n	4	137	1.99888	10.80794	7.67133
39	England-n	7	626	2.64190	9.42331	7.66270
40	slow-v	5	304	2.23385	9.97997	7.66015
41	real-j	9	972	2.99472	9.15109	7.64049
43	risk-n	11	1370	3.30990	8.94544	7.58599
44	shopping-n	5	352	2.23350	9.76847	7.57709
45	RPI-n	3	15	1.73191	13.58404	7.55982
46	release-v	6	550	2.44583	9.38765	7.54057
47	King-n	5	377	2.23332	9.66948	7.53566
48	Fed-n	4	227	1.99815	10.07942	7.48233
49	report-n	13	1927	3.59685	8.69427	7.45192
50	slightly-a	4	251	1.99796	9.93443	7.43585
51	Consumer-n	3	62	1.73147	11.53674	7.43522
52	expect-v	14	2152	3.73229	8.64187	7.43123
53	news-n	9	1213	2.99341	8.83153	7.42257
